ISBN,Main Title,Sub Title,Author,Publisher,Book Cover,Designation,Subject Area,Publication Year,Language,CODE ID,Quantity 
9780345802736,Catastrophic Care,Why everything we think we know about health care is wrong,David Goldhill,Vintage Books,"https://images-na.ssl-images-amazon.com/images/I/51g53yt8DsL._SX322_BO1,204,203,200_.jpg",DH,Health Care,2013,en,DH01,1
9781846685828,Being Mortal,"Illness, Medicine and what matters in the end",Atul Gawande,Profile Books ,"https://images-na.ssl-images-amazon.com/images/I/4122lHLSNhL._SX320_BO1,204,203,200_.jpg",DH,Mortality,2014,en,DH02,1
9780552778077,Life on the Edge,The Coming of Age of Quantum Biology,Jim Al-Khalili & Johnjoe McFadden,Transworld Publishers,"https://images-na.ssl-images-amazon.com/images/I/41yIjXpJ8EL._SX315_BO1,204,203,200_.jpg",DH,Quantum Biology,2014,en,DH03,1
9780465040025,The Patient Will See You Now,The future of medicine is in your hands,Eric Topol,Basic Books,"https://images-na.ssl-images-amazon.com/images/I/51vWDZRDcxL._SX331_BO1,204,203,200_.jpg",DH,Medicine in the Future,2015,en,DH04,1
9780312427658,Better,A Surgeon's Notes on Performance,Atul Gawande,Picador,"https://images-na.ssl-images-amazon.com/images/I/41QGAH9PiPL._SX325_BO1,204,203,200_.jpg",DH,"Medicine
",2007,"en
",DH05,1
9780393356069,Machine Platform Crowd,"Harnessing our Digital Future
",Andrew McAfee & Erik Brynjolfsson,Norton,"https://images-na.ssl-images-amazon.com/images/I/61A2RgoFKEL._SX328_BO1,204,203,200_.jpg",DH,Information Technology,2017,en,DH06,1
9780312430009,The Checklist Manifestio,How to get things right,Atul Gawande,Picador,"https://images-na.ssl-images-amazon.com/images/I/41hXjnjLY5L._SX324_BO1,204,203,200_.jpg",DH,Checklists,2009,en,DH07,1
9781582345796,Overtreated,Why too much medicine is making us sicker and poorer,Shannon Brownlee,Bloomsbury,"https://images-na.ssl-images-amazon.com/images/I/41ShsekMg3L._SX333_BO1,204,203,200_.jpg",DH,Medicine,2007,en,DH08,1
9781259860867,The Innovator's Prescription,A Disruptive Solution for Health Care,Clayton M. Christensen,McGraw-Hill,"https://images-na.ssl-images-amazon.com/images/I/515d2bLBBiL._SX312_BO1,204,203,200_.jpg",DH,Health Care,2017,en,DH09,1
9781449305024,Hacking Healthcare,"A Guide to Standards, Workflows, and Meaningful Use",Fred Trotter & David Uhlman,O'Reilly Media,"https://images-na.ssl-images-amazon.com/images/I/51gwwTNzgFL._SX379_BO1,204,203,200_.jpg",DH,Health Care,2013,en,DH10,1
9783642108259,Redefining German Healthcare,Moving to a Value-Based System,Michael E. Porter & Clemens Guth,Springer,"https://images-na.ssl-images-amazon.com/images/I/41TaOxq7HyL._SX313_BO1,204,203,200_.jpg",DH,Health Care,2012,en,DH11,1
9781260019605,The Digital Doctor,"Hope, Hype and Harm at the Dawn of Medicine's Computer Age",Robert Wachter,McGraw-Hill,"https://images-na.ssl-images-amazon.com/images/I/41zTTjCvhfL._SX331_BO1,204,203,200_.jpg",DH,"Medicine in the Future
",2017,en,DH12,1
9781591846772,Where Does It Hurt?,An Entrepreneur's Guide to Fixing Health Care,Jonathan Bush,Penguin,"https://images-na.ssl-images-amazon.com/images/I/51F0O018iaL._SX329_BO1,204,203,200_.jpg",DH,Health Care,2014,en,DH13,1
9780465061839,"The Creative Destruction of Medicine
",How the Digital Revolution will create better Health Care,Eric Topol,Basic Books,"https://images-na.ssl-images-amazon.com/images/I/51ueVxbRimL._SX329_BO1,204,203,200_.jpg",DH,Medicine / Health Care,2012,en,DH14,1
9783319379531,Requirements Engineering for Digital Health,,Samuel A. Fricker & Christoph Thümmler & Anastasius Gavras,Springer,"https://images-na.ssl-images-amazon.com/images/I/413FmHHdSjL._SX331_BO1,204,203,200_.jpg",DH,"Digital Health
",2015,en,DH15,1
9780062237507,Epic Measures,One Doctor. Seven Billion Patients,Jeremy N. Smith,HarperCollins,"https://images-na.ssl-images-amazon.com/images/I/516vSqbRg3L._SX330_BO1,204,203,200_.jpg",DH,Health Care,2015,en,DH16,1
9783954663958,Das Martini-Prinzip,"Spitzenmedizin durch Spezialisierung, Ergebnistransparenz und Patientenorientierung",Hartwig Huland/Markus Graefen/Jens Deerberg-Wittram (Hrsg.),Madizinisch Wissenschaftliche Verlagsgesellschaft,"https://images-na.ssl-images-amazon.com/images/I/41Xs9fE6lKL._SX349_BO1,204,203,200_.jpg",DH,Medicine,2018,de,DH17,1
9783954663989,Die Zukunft der Medizin,Disruptive Innovationen revolutionieren Medizin und Gesundheit,Erwin Böttinger/Jasper zu Putlitz (Hrsg.),Madizinisch Wissenschaftliche Verlagsgesellschaft,https://m.media-amazon.com/images/I/817wRq2JXML._AC_UY436_FMwebp_QL65_.jpg,DH,Medicine,2019,de,DH18,1
9781591397786,Redefining Health Care,Creating Value-Based Competition on Results,Michael E. Porter & Elizabeth Olmsted Teisberg,Harvard Business Review,https://m.media-amazon.com/images/I/71HKsJP-u0L._AC_UL640_FMwebp_QL65_.jpg,DH,Health Care,2006,en,DH19,1
