ISBN,Main Title,Sub Title,Author,Publisher,Book Cover,Designation,Subject Area,Publication Year,Language,CODE ID,Quantity,
9781422161975,The Experience Economy,,Joseph Pine,Harvard Business School Publishing,https://m.media-amazon.com/images/I/81LZn9bXLmL._AC_UY436_FMwebp_QL65_.jpg,ID,experience design / theory,2011,en,ID01,1,
9781608450473,Experience Design,Technology for All the Right Reasons,Marc Hassenzahl,Morgan & Claypool Publishers,http://books.google.com/books/content?id=pwGsZZBBlLAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,ID,Computer Science,2010,en,ID02,1,
9780123819598,Sketching User Experiences,The Workbook,"Saul Greenberg, Sheelagh Carpendale, Nicolai Marquardt, Bill Buxton",Morgan Kaufmann,http://books.google.com/books/content?id=c-RAUXk3gbkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,ID,HCI/Interactive Design,2012,en,ID03,2,
9781446295434,Interpreting Qualitative Data,,David Silverman,SAGE,"https://images-na.ssl-images-amazon.com/images/I/51kisbhcw5L._SX399_BO1,204,203,200_.jpg",ID,Research,2014,en,ID04,1,
9780262134743,Designing Interactions,,Bill Moggridge,The MIT Press,https://m.media-amazon.com/images/I/51ui4djJ6VL._AC_UY436_FMwebp_QL65_.jpg,ID,user experience,2007,en,ID05,2,1 missing
9783843912709,Experience Design in the Automotive Context,,Martin Knobel,Dr. Hut,"https://images-na.ssl-images-amazon.com/images/I/31qkqfnbf0L._SX352_BO1,204,203,200_.jpg",ID,experience design,2013,en,ID06,1,
,Experience Prototyping for Automotive Applications,,Sebastian Löhmann,,https://edoc.ub.uni-muenchen.de/18080/1.haspreviewThumbnailVersion/Loehmann_Sebastian.pdf,ID,experience design,2015,en,ID07,1,
9780465050659,The Design of Everyday Things,,Don Norman,Basic Books,https://m.media-amazon.com/images/I/81zpLhP1gWL._AC_UY436_FMwebp_QL65_.jpg,ID,Design/Business/Psychology,2013,en,ID08,2,
9781118766576,About Face - The Essentials of Interaction Design,The Completely Updated Classic on Creating Delightful User Experiences,"Alan Cooper, Robert Reimann, David Cronin, Christopher Noessel",John Wiley & Sons,http://books.google.com/books/content?id=w9Q5BAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,ID,Design,2014,en,ID09,1,
9781483349800,The SAGE Handbook of Qualitative Research,,Denzin Lincoln,SAGE Publications,https://m.media-amazon.com/images/I/81D9HiswKOL._AC_UY436_FMwebp_QL65_.jpg,ID,Research,2018,en,ID10,1,
9783826697050,Don't Make Me Think,Web and Mobile Usability - Das intuitive Web,Steve Krug,mitp,https://m.media-amazon.com/images/I/51pnouuPO5L._AC_UL872_FMwebp_QL65_.jpg,ID,Design,2014,en,ID11,2,
9781350002715,Uncertainty and Possibility,New Approaches to Future Making in Design Anthropology,"Sarah Pink, Yoko Akama, Shanti Sumartojo",Bloomsbury Publishing,http://books.google.com/books/content?id=YmNHDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,ID,Anthropology,2018,en,ID12,1,
9789063604609,This Human,how to be the person designing for other people,Melis Senova,BIS Publisher,https://m.media-amazon.com/images/I/71-7y9qCbUL._AC_UY436_FMwebp_QL65_.jpg,ID,Design,2017,en,ID13,1,
9781472572585,Designing the invisible,an introduction to service design,Lara Penin,Bloomsbury Publishing,https://m.media-amazon.com/images/I/71D-kj0Be2L._AC_UY436_FMwebp_QL65_.jpg,ID,Service Design,2018,en,ID14,1,
9780321767530,100 Things Every Designer Needs to Know About People,,Susan Weinschenk,Pearson Education,http://books.google.com/books/content?id=yODWdMUhkFwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,ID,Desktop Publishing,2011,en,ID15,1,
9780761973836,How to Design and Report Experiments,,Andy Field & Graham Hole,SAGE Publications,https://m.media-amazon.com/images/I/41JxeDZuLEL._AC_UY436_FMwebp_QL65_.jpg,ID,Experimental Design,2003,en,ID16,1,
9780262122634,Design research,"methods and perspectives / Brenda Laurel, editor.","Laurel, Brenda",MIT Press,https://m.media-amazon.com/images/I/51cmg22cm7L._AC_UY436_FMwebp_QL65_.jpg,ID,design research,2003,en,ID17,1,
9780988236257,Design research methods,150 ways to inform design,Robert Curedale,Design community college Inc.,"https://images-na.ssl-images-amazon.com/images/I/51SmQpFl2gL._SX331_BO1,204,203,200_.jpg",ID,Design,2013,en,ID18,1,
9781472534408,Communication Design,Insights from the Creative Industries,"Derek Yates, Jessie Price",Bloomsbury Publishing,http://books.google.com/books/content?id=W043DQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,ID,Design,2015,en,ID19,1,
9789063693213,Design transitions,"inspiring stories, global viewpoints, how design is changing","Emma Jefferies, Joyce Yee, Lauren Tan",BIS Publisher,https://m.media-amazon.com/images/I/81qdwN4xBbL._AC_UL640_FMwebp_QL65_.jpg,ID,Design History,2013,en,ID20,1,
9781616890254,Participate designing with user-generated content,,Helen Armstrong & Zvezdana Stojmirovic,Princeton Architectual Press,https://m.media-amazon.com/images/I/41d+MQ+WOsL._AC_UY436_FMwebp_QL65_.jpg,ID,user research / co-creation,2011,en,ID21,1,
9789063692797,This is Service Design Thinking,"Basics, Tools, Cases","Marc Stickdorn, Jakob Schneider",Bis Publishers,http://books.google.com/books/content?id=o4ZPYgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,ID,Consumer Behavior,2017,en,ID22,1,
9781631597480,Universal methods of design,"125 ways to research complex problems, develop innovative ideas, and design effective solutions",Bella Martin & Bruce Hanington,RockPort,"https://images-na.ssl-images-amazon.com/images/I/51vlUPOR9RL._SX422_BO1,204,203,200_.jpg",ID,design tools,2019,en,ID23,1,
9781350092662,Design thinking,understanding how designers think and work,Nigel Cross,Bloomsbury Publishing,https://m.media-amazon.com/images/I/61QqZhR2m1L._AC_UY436_FMwebp_QL65_.jpg,ID,design theory,2018,en,ID24,1,
9780262201575,In the Bubble,Designing in a Complex World,John Thackara,MIT Press,http://books.google.com/books/content?id=yuM68Q8WJUIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,ID,Business & Economics,2006,en,ID25,1,
9781933820477,Storytelling for user experience,crafting stories for better design,Whitney Quesenbery & Kevin Brooks,Rosenfeld Media,"https://images-na.ssl-images-amazon.com/images/I/41TvLiWjCQL._SX331_BO1,204,203,200_.jpg",ID,UX storytelling,2010,en,ID26,1,
9781118620120,Design Thinking for Strategic Innovation,What they can't teach you at business or design school,Idris Mootee,John Wiley & Sons,https://m.media-amazon.com/images/I/51oYH9v4E8L._AC_UY436_FMwebp_QL65_.jpg,ID,design thinking,2013,en,ID27,1,
9780008139384,Creative Confidence,Unleashing the creative potential within us all,David Kelley,William Collins,https://m.media-amazon.com/images/I/41jdjijYb7L._AC_UY436_FMwebp_QL65_.jpg,ID,design thinking,2015,en,ID28,1,
