ISBN,Main Title,Sub Title,Author,Publisher,Book Cover,Designation,Subject Area,Publication Year,Language,CODE ID,Quantity 
9781847651228,Don't Sleep There Are Snakes,Life and Language in The Amazonian Jungle,Daniel Everett,Profile Books,"https://images-na.ssl-images-amazon.com/images/I/51VHoXD2WXL._SX324_BO1,204,203,200_.jpg",IS,Linguistics,2009,en,IS01,1
9780385124744,Beyond Culture,,Edward Twitchell Hall,Anchor,http://books.google.com/books/content?id=reByw3FWVWsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,IS,Anthropology,1989,en,IS02,1
9780307907028,Language,The Cultural Tool,Daniel Everett,Vintage,https://images-na.ssl-images-amazon.com/images/I/71PjAM6LNEL.jpg,IS,Linguistics,2013,en,IS03,1
9780262261203,Origins of Human Communication,,Michael Tomasello,MIT Press,"https://images-na.ssl-images-amazon.com/images/I/51Onz%2B2T5DL._SX328_BO1,204,203,200_.jpg",IS,Linguistics,2010,en,IS04,1
9780871404770,How Language Began,The Story of Humanity's Greatest Invention,Daniel Everett,Liveright Publishing,"https://images-na.ssl-images-amazon.com/images/I/41r1XmaFCLL._SX323_BO1,204,203,200_.jpg",IS,Linguistics,2017,en,IS05,1
9789814382052,Blah Blah Blah ,What to Do When Words Don't Work,Dan Roam,Marshall Cavendish,"https://images-na.ssl-images-amazon.com/images/I/61dNxLpSVgL._SX490_BO1,204,203,200_.jpg",IS,Communication,2011,en,IS06,1
9780670025183,Pathways to Possibility,"Transforming our Relationships with Ourselves, Each other, and the World",Rosamund Stone Zander,Penguin UK,https://images.gr-assets.com/books/1465617915l/27774706.jpg,IS,Self-Help,2016,en,IS07,1
9780262037297,Lifelong Kindergarten,"Cultivating Creativity Through Projects, Passion, Peers, and Play",Mitchel Resnick,MIT Press,http://books.google.com/books/content?id=nGYyDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,IS,Education,2017,en,IS08,1
9781501147760,The Power of Moments,Why Certain Experiences Have Extraordinary Impact,"Chip Heath, Dan Heath",Simon and Schuster,http://books.google.com/books/content?id=cFU3DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,IS,Self-Help,2017,en,IS09,1
9781409038696,The Power of Habit,"Why We Do What We Do, and How to Change",Charles Duhigg,Random House,http://books.google.com/books/content?id=c12idXqsE5cC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,IS,Self-Help,2012,en,IS10,1
9783938539521,Kaiseki,Die Weisheit der japanischen Küche,Malte Härtig,Mairisch Verlag,https://m.media-amazon.com/images/I/71h80Dhib4L._AC_UL872_FMwebp_QL65_.jpg,IS,Japanese Cuisine,2018,de,IS11,1
9781519082206,A Short Introduction to Coaching Skills and the GROW Model,,P. H. Davies,Amazon Fulfilment,https://m.media-amazon.com/images/I/41c2VAqzs4L._AC_UL872_FMwebp_QL65_.jpg,IS,Self-Help,2016,en,IS12,1
9780349121512,Adapt,Why Success Always Starts With Failure,Tim Harford,"Little, Brown","https://images-na.ssl-images-amazon.com/images/I/51v8yUbPufL._SX317_BO1,204,203,200_.jpg",IS,Failure and Success,2011,en,IS13,1
9781784742928,Invisible Women,Exposing Data Bias in a World Designed for Men,Caroline Criado Perez,Chatto & Windus,https://m.media-amazon.com/images/I/71db66ZoJdL._AC_UY436_FMwebp_QL65_.jpg,IS,Gernder politics,2019,en,IS14,2
9781093579512,From the Bürgeramt to the bedroom,Your essential guide to moving to Germany,"Linda O'grady, Kristina Riess",Independently published,"https://images-na.ssl-images-amazon.com/images/I/31rs3OVNKQL._SX331_BO1,204,203,200_.jpg",IS,Guide,2019,en,IS15,1
9780307352156,Quiet,The Power of Introverts in a World That Can't Stop Talking,Susan Cain,Broadway Books,"https://images-na.ssl-images-amazon.com/images/I/41dLSeFWgcL._SX308_BO1,204,203,200_.jpg",IS,empowerment for introverts,2012,en,IS16,1
,Women in Tech,"Inspiration, No Fairytales.",Larisa Akrofie / Sarah Klein / Thalia Rahme / Sarah Berning / Sonja Peteranderl / Anuradha Sharma,The Federal Ministry for Economic Cooperation and Development (BMZ),-,IS,Woman / Technology,2018,en,IS17,1
9783468497742,Deutsches Übungsbuch,,Buscha/Friedrich,Langenscheidt Verlag Enzyklopädie,"https://images-na.ssl-images-amazon.com/images/I/41JSDA7QX1L._SX346_BO1,204,203,200_.jpg",IS,German,1996,de,IS18,1
9783126061308,Netzwerk - Deutsch als Fremdsprache A1,Arbeitsbuch,"Stefanie Dengler, Paul Rusch, Helen Schmitz, Tanja Sieber",Langenscheidt Verlag Enzyklopädie,https://m.media-amazon.com/images/I/61n1aE6FpwL._AC_UY436_FMwebp_QL65_.jpg,IS,German,2013,de,IS19,1
9783126061285,Netzwerk - Deutsch als Fremdsprache A1,kursbuch,"Stefanie Dengler, Paul Rusch, Helen Schmitz, Tanja Sieber",Langenscheidt Verlag Enzyklopädie,https://m.media-amazon.com/images/I/41rxKyRRzPL._AC_UY436_FMwebp_QL65_.jpg,IS,German,2013,de,IS20,1
9781781254172,Lingo,A Language Spotter's Guide to Europe,Gaston Dorren,Profile Books,"https://images-na.ssl-images-amazon.com/images/I/41-p%2B-do6tL._SX319_BO1,204,203,200_.jpg",IS,Language,2015,en,IS21,1
9783744870788,Handbook for Professional Communication,,Hans Gutbrod,Books on Demand,"https://images-na.ssl-images-amazon.com/images/I/41DfXm-2N3L._SX351_BO1,204,203,200_.jpg",IS,Communication,2017,en,IS22,1
9780753548295,OPTION B,"Facin Adversity, Building Resilience and Finding Joy","Sheryl Sandberg, Adam Grant",WH Allen,"https://images-na.ssl-images-amazon.com/images/I/41ez7JxBduL._SX296_BO1,204,203,200_.jpg",IS,Grief and resilience,2017,en,IS23,2
9781408878699,Lost Connections,Uncovering the real causes of depression - and the inexpected solutions,Johann Hari,Bloomsbury,"https://images-na.ssl-images-amazon.com/images/I/41DjtNO-eeL._SX323_BO1,204,203,200_.jpg",IS,Self-Help,2018,en,IS24,1
9781509523818,The happiness Fantasy,,Carl Cederström,Polity,"https://images-na.ssl-images-amazon.com/images/I/31b46kWndPL._SX310_BO1,204,203,200_.jpg",IS,Self-Help,2018,en,IS25,1
9780241279267,Find your whay,A practical guide for discovering purpose for you and your team,Simon Sinek,Portfolio Penguin,"https://images-na.ssl-images-amazon.com/images/I/519sKHyF-HL._SX402_BO1,204,203,200_.jpg",IS,Self-Help/Team,2017,en,IS26,1
9781789042146,"Going Nowhere, Slow",The Aesthetics and Politics of Depression,Mikkel Krause Frantzen,Zero Books,https://images-eu.ssl-images-amazon.com/images/I/41CswBQSGqL.jpg,IS,Self-Help,2018,en,IS27,1
9781847081735,Smile or Die,How positive thinking fooled America & the World,Barbara Ehrenreich,Granta,"https://images-na.ssl-images-amazon.com/images/I/51WQPGZaRgL._SX328_BO1,204,203,200_.jpg",IS,Positive Thinking,2009,en,IS28,1
9781610392761,The Culture Map,"Decoding How People Think, Lead, and Get Things Done Across Cultures",Erin Meyer,PublicAffairs,"https://images-na.ssl-images-amazon.com/images/I/51XqPmTMfFL._SX326_BO1,204,203,200_.jpg",IS,Cultural Differences,2014,en,IS29,3
9781412960458,The SAGE Handbook of Intercultural Competence,,Darla K. Deardorff,SAGE,https://m.media-amazon.com/images/I/61NETRuBroL._AC_UY436_FMwebp_QL65_.jpg,IS,Multicultural,2009,en,IS30,1
