ISBN,Main Title,Sub Title,Author,Publisher,Book Cover,Designation,Subject Area,Publication Year,Language,CODE ID,Quantity 
9781119387503,Inspired,How to create products that customers love,Marty Cagan,Wiley,https://m.media-amazon.com/images/I/41q5rzssUVL._AC_UY436_FMwebp_QL65_.jpg,PM,Basics,2018,en,PM01,1
9781524762407,The Lean Startup,How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,Eric Ries,Currency,https://m.media-amazon.com/images/I/81-QB7nDh4L._AC_UY436_FMwebp_QL65_.jpg,PM,Business & Economics/Entrepreneurship,2017,en,PM02,1
9781491904909,User Story Mapping,"Discover the whole story, build the right product",Jeff Patton,O'Reilly Media,https://m.media-amazon.com/images/I/71385MbgcSL._AC_UY436_FMwebp_QL65_.jpg,PM,User Research,2014,en,PM03,1
9781491960608,Product Leadership,How top product managers launch awesome products and build successful teams,"Richard Banfield, Martin Eriksson & Nate Walkingshaw",O'Reilly Media,https://m.media-amazon.com/images/I/81sD2yDGXNL._AC_UY436_FMwebp_QL65_.jpg,PM,Product Manager,2017,en,PM04,1
9781118301302,You Should Test That,"Conversion Optimization for More Leads,Sales and Profit or The Art and Science of Optimized Marketing",Chris Goward,John Wiley & Sons,"https://images-na.ssl-images-amazon.com/images/I/51xJjTM6VGL._SX258_BO1,204,203,200_.jpg",PM,E-Commerce,2013,en,PM05,1
9780321657299,Rocket Surgery made easy,The DO-It-Yourself Guide to finding and Fixing Usability Problems,Steve Krug,New Rider,https://m.media-amazon.com/images/I/516qy8xvO7L._AC_UL640_FMwebp_QL65_.jpg,PM,User Research,2010,en,PM06,1
9780241395493,Let It Go,From Refugee to entrepreneur to Philanthropist,Dame Stephanie Shirley,Penguine Business,https://m.media-amazon.com/images/I/61scyA8+geL._AC_UY436_FMwebp_QL65_.jpg,PM,Creativity and resilience,2019,en,PM07,1
9780099505693,Made to stick,Why some ideas take hold and others come unstuck,"Chip Heath, Dan Heath",Arrow books,https://images-eu.ssl-images-amazon.com/images/I/41IjhKQQDBL._SY346_.jpg,PM,Learning,2008,en,PM08,1
9781137526236,Marketing Strategy,Based on first Principles and Data Analytics,"Robert W. Palmatier, Shrihari Sridhar",Macmillan Education,"https://images-na.ssl-images-amazon.com/images/I/41vzQ8JHcxL._SX383_BO1,204,203,200_.jpg",PM,Marketing,2017,en,PM09,1
9783446450523,Scrum mit User Stories,,"Ralf Wirdemann, Johannes Mainusch",Hanser,http://files.hanser.de/ARTK/9783446450523/P01/0/1975/0/jpg/100,PM,Software Engineering,2017,de,PM10,1
9783424201710,Stressless,Das Abc feur mehr Gelassenheit in Job und Alltag,"Louis Lewitan, Markus Boehler",Ariston,"https://images-na.ssl-images-amazon.com/images/I/41N%2BIRkwegL._SX312_BO1,204,203,200_.jpg",PM,Stress,2017,de,PM11,1
9780123848697,Observing The User Experience,A Practitioner's Guide to User Research,"Elizabeth Goodman, Mike Kuniavsky, Andrea Moed",Morgan Kaufmann,"https://images-na.ssl-images-amazon.com/images/I/51z0o0DeYNL._SX403_BO1,204,203,200_.jpg",PM,Website Architecture,2012,en,PM12,1
