ISBN,Main Title,Sub Title,Author,Publisher,Book Cover,Designation,Subject Area,Publication Year,Language,CODE ID,Quantity
9781593279509,Eloquent JavaScript,A Modern Introduction to Programming, Marijn Haverbeke,No Starch Press,https://m.media-amazon.com/images/I/91ahAhFS-LL._AC_UY436_FMwebp_QL65_.jpg,SE,JavaScript,2019,en,SE01,1
9781449331818,Learning JavaScript Design Patterns,A JavaScript and jQuery Developer's Guide,Addy Osmani,"O'Reilly Media, Inc.",http://books.google.com/books/content?id=L46fX62D5qYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,SE,Web Programming,2012,en,SE02,1
9780735619654,Object Thinking,,David West,Microsoft Press,http://books.google.com/books/content?id=6JVCAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,SE,Software Engineering,2004,en,SE03,1
9780321503626,Growing Object-Oriented Software,Guided by Tests,"Steve Freeman, Nat Pryce",Pearson Education,http://books.google.com/books/content?id=QJA3dM8Uix0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,SE,Software Engineering,2010,en,SE04,1
9780134456478,Practical Object-Oriented Design,An Agile Primer Using Ruby,Sandi Metz,Addison-Wesley,https://m.media-amazon.com/images/I/61qpmhZRxGL._AC_UY436_FMwebp_QL65_.jpg,SE,Programming/Object-Oriented,2019,en,SE05,1
9781593272838,Learn You a Haskell for Great Good!,A Beginner's Guide,Miran Lipovaca,No Starch Press,http://books.google.com/books/content?id=QesxXj_ecD0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,SE,Programming Languages,2011,en,SE06,1
9780596514983,Real World Haskell,Code You Can Believe In,"Bryan O'Sullivan, John Goerzen, Donald Bruce Stewart","O'Reilly Media, Inc.",http://books.google.com/books/content?id=nh0okI1a1sQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,SE,Programming Languages,2009,en,SE07,1
9781449335946,Parallel and Concurrent Programming in Haskell,Techniques for Multicore and Multithreaded Programming,Simon Marlow,"O'Reilly Media, Inc.",http://books.google.com/books/content?id=wSkRAAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,SE,Programming Languages,2013,en,SE08,1
9781849511261,Python 3 Object Oriented Programming,Harness the power of Python 3 objects,Dusty Phillips,Packt Publishing Ltd,http://books.google.com/books/content?id=mAy_CffZSDgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,SE,Programming Languages,2010,en,SE09,1
9781491957660,Python for Data Analysis,"Data Wrangling with Pandas, NumPy, and IPython",Wes McKinney,"O'Reilly Media, Inc.",http://books.google.com/books/content?id=UiM3DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,SE,Programming Languages,2018,en,SE10,1
9781491901427,Data Science from Scratch,First Principles with Python,Joel Grus,"O'Reilly Media, Inc.",http://books.google.com/books/content?id=JYodCAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,SE,Data in the Enterprise,2015,en,SE11,1
9781783555130,Python Machine Learning,Unlock deeper insights into machine learning with this vital guide to cutting-edge predicitive analytics,Sebastian Raschka,Packt Publishing Ltd,https://m.media-amazon.com/images/I/51MWlrcCY-L._AC_UL872_FMwebp_QL65_.jpg,SE,Programming Languages,2016,en,SE12,1
9781491962299,Hands-On Machine Learning with Scikit-Learn and TensorFlow,"Concepts, Tools, and Techniques to Build Intelligent Systems",Aurélien Géron,"O'Reilly Media, Inc.",http://books.google.com/books/content?id=bRpYDgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,SE,Programming Languages,2017,en,SE13,1
9781848900660,The Lambda Calculus - Its Syntax and Semantics,,Henk Barendregt,College Publications,http://books.google.com/books/content?id=b8jsMQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,SE,Logic,2012,en,SE14,1
