ISBN,Main Title,Sub Title,Author,Publisher,Book Cover,Designation,Subject Area,Publication Year,Language,CODE ID,Quantity 
9783836548830,The atlas of infographics,Understanding the world,"Sandra Rendgen, Ed. Julius Wiedemann",TASCHEN,"https://images-na.ssl-images-amazon.com/images/I/51IUPATeLBL._SX348_BO1,204,203,200_.jpg",STS,Infographic,2018,en,XXL01,1
9783430202107,Wirtschaft verstehen mit Infografiken,,"Jan Schwochow, Thomas Ramge",Econ,"https://images-na.ssl-images-amazon.com/images/I/512cHM8cxRL._SX376_BO1,204,203,200_.jpg",ID,Infographic,2016,de,XXL02,1
9783981915532,Das Grosse Buch Vom Erfolg,,Anja Hermanni,Verlag Turi2 ,https://m.media-amazon.com/images/I/81DHWvYrgOL._AC_UY436_FMwebp_QL65_.jpg,STS,Entrepreneurship,2019,de,XXL03,1
,Hello Future,Annual report 2016/17,Otto Group,Otto Group,https://www.ottogroup.com/media/img/dossier/HalloZukunft/weblication/wThumbnails/GB_Cover_EN_2017_2-8ed3a7bd842aaabgb1606e5642f8e586.jpg,STS,Finance,2017,en,XXL04,1
9789888407064,Mathematics for Computer Science,,"Eric Lehman, F Tom Leighton & Albert R Meyer",Samurai Media LTD,https://m.media-amazon.com/images/I/61yGiI+eMoL._AC_UY436_FMwebp_QL65_.jpg,SE,Computer Science,2017,en,XXL05,1
9783836528795,Information Graphics,,Sandra Rendgen,TASCHEN GmbH,"https://images-na.ssl-images-amazon.com/images/I/51vN%2BFrtsAL._SX336_BO1,204,203,200_.jpg",ID,Infographics,2018,en,XXL06,1
9788416851348,Playful Data,Graphic Design and Illustration for Infographics,Wang Shaoqiang,Promopress,http://books.google.com/books/content?id=KrmsAQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,ID,Design,2018,en,XXL07,1
9780786860708,The illusion of life,Disney animation,"Frank Thomas, Ollie Johnston",Disney Editions,http://books.google.com/books/content?id=2x0RAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,ID,Animation,1995,en,XXL08,1
9781856697521,Saul Bass,A Life in Film and Design,"Jennifer Bass, Pat Kirkham",Laurence King Publishing,http://books.google.com/books/content?id=in2RuAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,ID,Film,2016,en,XXL09,1
9783791359021,Original Bauhaus Workbook,,Nina Wiedemeyer / Friederike Holländer,Prestel Publishing,"https://images-na.ssl-images-amazon.com/images/I/41PRH9N0JSL._SX348_BO1,204,203,200_.jpg",ID,Bauhaus,2019,en,XXL10,1
9781472568236,The Layout Book,,"Gavin Ambrose, Paul Harris",Bloomsbury,https://m.media-amazon.com/images/I/51eIMDetuXL._AC_UY436_FMwebp_QL65_.jpg,ID,Design,2015,en,XXL11,1
9781138612648,Computer Graphics Through Opengl From Theory to Experiments,Comprehensive coverage of shaders and the programmable pipline,Sumanta Guha,CRC Press,https://m.media-amazon.com/images/I/51eeiMQYxcL._AC_UY436_FMwebp_QL65_.jpg,SE,Computer Graphics,2019,en,XXL12,1
9781118980828,Designing Brand Identity,an essential guide for the whole branding team,Alina Wheeler,Wiley,https://m.media-amazon.com/images/I/51NZeKiPoWL._AC_UY436_FMwebp_QL65_.jpg,ID,Brand Design,2018,en,XXL13,1
